source,target
Metabolic & Endocrine Disorders,diabetes-support_co-occurrence
Metabolic & Endocrine Disorders,drwfdiabetes_co-occurrence
Metabolic & Endocrine Disorders,graves-disease-support_co-occurrence
Metabolic & Endocrine Disorders,myositisuk_co-occurrence
Metabolic & Endocrine Disorders,pmrgcauk_co-occurrence
Patient Support & Education,baby-and-us_co-occurrence
Patient Support & Education,fertility-network-uk_co-occurrence
Patient Support & Education,one-norfolk-parents_co-occurrence
Patient Support & Education,adhd-parents_co-occurrence
Patient Support & Education,app-network_co-occurrence
Patient Support & Education,fertility-ivf_co-occurrence
Patient Support & Education,fertility-network-uk-pregnancy_co-occurrence
Patient Support & Education,fertility-road_co-occurrence
Patient Support & Education,mamafit_co-occurrence
Patient Support & Education,nkf-parents_co-occurrence
Dermatology & Skin-Related,beyond-psoriasis_co-occurrence
Dermatology & Skin-Related,fungalinfectiontrust_co-occurrence
Dermatology & Skin-Related,alopeciauk_co-occurrence
Dermatology & Skin-Related,adult-acne-support_co-occurrence
Dermatology & Skin-Related,changingfaces_co-occurrence
Dermatology & Skin-Related,lsn_co-occurrence
Dermatology & Skin-Related,tourettes-action_co-occurrence
Dermatology & Skin-Related,menshealth-penishealth_co-occurrence
Dermatology & Skin-Related,my-skin_co-occurrence
Medications & Treatment Monitoring,alopeciauk_co-occurrence
Medications & Treatment Monitoring,arrhythmia-alliance-svt_co-occurrence
Medications & Treatment Monitoring,differentstrokes_co-occurrence
Medications & Treatment Monitoring,erectile-dysfunction-support_co-occurrence
Medications & Treatment Monitoring,hepatitisfoundation_co-occurrence
Medications & Treatment Monitoring,pbc-foundation_co-occurrence
Medications & Treatment Monitoring,pbcers_co-occurrence
Medications & Treatment Monitoring,adult-acne-support_co-occurrence
Medications & Treatment Monitoring,amneasier_co-occurrence
Medications & Treatment Monitoring,asthmalunguk-asthma_co-occurrence
Substance Abuse & Addiction,quit4life_co-occurrence
Substance Abuse & Addiction,quitsupport_co-occurrence
Substance Abuse & Addiction,downs-support_co-occurrence
Substance Abuse & Addiction,drink-free_co-occurrence
Substance Abuse & Addiction,nosmokingday_co-occurrence
Substance Abuse & Addiction,adult-adhd_co-occurrence
Substance Abuse & Addiction,childrenwithcerebralpalsy_co-occurrence
Substance Abuse & Addiction,endometriosis-nz_co-occurrence
Substance Abuse & Addiction,fpa-contraception_co-occurrence
Substance Abuse & Addiction,hep-c-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),bowel-disease-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),glutenfreeguerrillas_co-occurrence
Digestive Health (Gastrointestinal Conditions),crohns-colitis-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),crohnscolitis_co-occurrence
Digestive Health (Gastrointestinal Conditions),opa-gord_co-occurrence
Digestive Health (Gastrointestinal Conditions),pancreatitis-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),theibsnetwork_co-occurrence
Digestive Health (Gastrointestinal Conditions),colostomy-care_co-occurrence
Digestive Health (Gastrointestinal Conditions),dentistry-health-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),eric_co-occurrence
Allergy & Immunology,efa_co-occurrence
Allergy & Immunology,allergic-to-glycols_co-occurrence
Allergy & Immunology,ukmasto_co-occurrence
Allergy & Immunology,asthmalunguk-asthma_co-occurrence
Allergy & Immunology,fightbladdercancer_co-occurrence
Respiratory Conditions & Treatments,asthmalunguk-asthma_co-occurrence
Respiratory Conditions & Treatments,bronchiectasis-support_co-occurrence
Respiratory Conditions & Treatments,livingwithasthma_co-occurrence
Respiratory Conditions & Treatments,asthmalunguk-lung_co-occurrence
Respiratory Conditions & Treatments,copd-friends_co-occurrence
Respiratory Conditions & Treatments,living-with-ild_co-occurrence
Respiratory Conditions & Treatments,efa_co-occurrence
Respiratory Conditions & Treatments,fungalinfectiontrust_co-occurrence
Respiratory Conditions & Treatments,lungcancer_co-occurrence
Respiratory Conditions & Treatments,sclc-go2_co-occurrence
Infectious & Communicable Diseases,hivpartners_co-occurrence
Infectious & Communicable Diseases,meningitisnow_co-occurrence
Infectious & Communicable Diseases,tb-alert_co-occurrence
Infectious & Communicable Diseases,hep-c-trust_co-occurrence
Infectious & Communicable Diseases,icusteps_co-occurrence
Infectious & Communicable Diseases,livingwellwithhiv_co-occurrence
Infectious & Communicable Diseases,bronchiectasis-support_co-occurrence
Infectious & Communicable Diseases,endometriosis-nz_co-occurrence
Infectious & Communicable Diseases,eric_co-occurrence
Infectious & Communicable Diseases,fpa-contraception_co-occurrence
Rare Diseases & Genetic Disorders,pcdsupport_co-occurrence
Rare Diseases & Genetic Disorders,bws-support_co-occurrence
Rare Diseases & Genetic Disorders,dc-action_co-occurrence
Rare Diseases & Genetic Disorders,edsuk_co-occurrence
Rare Diseases & Genetic Disorders,living-with-lyme-disease-uk_co-occurrence
Hematology & Blood Disorders,itpsupport_co-occurrence
Hematology & Blood Disorders,pasoc_co-occurrence
Hematology & Blood Disorders,haemochromatosis-uk_co-occurrence
Hematology & Blood Disorders,sicklecellsociety_co-occurrence
Hematology & Blood Disorders,sicklecelldisease_co-occurrence
Hematology & Blood Disorders,bws-support_co-occurrence
Hematology & Blood Disorders,cllsupport_co-occurrence
Hematology & Blood Disorders,leukaemia-support_co-occurrence
Preventive Health & Screening,hearinglink_co-occurrence
Preventive Health & Screening,deafplus_co-occurrence
Preventive Health & Screening,mydirectives_co-occurrence
Preventive Health & Screening,sca-heart-attack_co-occurrence
Preventive Health & Screening,tinnitus-uk_co-occurrence
Preventive Health & Screening,transplant-support_co-occurrence
Eye & Vision Health,glaucoma-uk_co-occurrence
Eye & Vision Health,macularsociety_co-occurrence
Eye & Vision Health,pagets-support_co-occurrence
Eye & Vision Health,sjogrens-support_co-occurrence
