source,target
Medications & Treatment Monitoring,pbcers_co-occurrence
Medications & Treatment Monitoring,adult-acne-support_co-occurrence
Substance Abuse & Addiction,quit4life_co-occurrence
Substance Abuse & Addiction,downs-support_co-occurrence
Substance Abuse & Addiction,endometriosis-nz_co-occurrence
Substance Abuse & Addiction,fpa-contraception_co-occurrence
Substance Abuse & Addiction,hep-c-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),bowel-disease-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),crohnscolitis_co-occurrence
Digestive Health (Gastrointestinal Conditions),pancreatitis-support_co-occurrence
Digestive Health (Gastrointestinal Conditions),colostomy-care_co-occurrence
Digestive Health (Gastrointestinal Conditions),dentistry-health-support_co-occurrence
Allergy & Immunology,efa_co-occurrence
Allergy & Immunology,allergic-to-glycols_co-occurrence
Allergy & Immunology,ukmasto_co-occurrence
Allergy & Immunology,fightbladdercancer_co-occurrence
Respiratory Conditions & Treatments,bronchiectasis-support_co-occurrence
Respiratory Conditions & Treatments,living-with-ild_co-occurrence
Respiratory Conditions & Treatments,efa_co-occurrence
Respiratory Conditions & Treatments,sclc-go2_co-occurrence
Infectious & Communicable Diseases,tb-alert_co-occurrence
Infectious & Communicable Diseases,hep-c-trust_co-occurrence
Infectious & Communicable Diseases,livingwellwithhiv_co-occurrence
Infectious & Communicable Diseases,bronchiectasis-support_co-occurrence
Infectious & Communicable Diseases,endometriosis-nz_co-occurrence
Infectious & Communicable Diseases,fpa-contraception_co-occurrence
Rare Diseases & Genetic Disorders,pcdsupport_co-occurrence
Rare Diseases & Genetic Disorders,bws-support_co-occurrence
Rare Diseases & Genetic Disorders,dc-action_co-occurrence
Rare Diseases & Genetic Disorders,living-with-lyme-disease-uk_co-occurrence
Hematology & Blood Disorders,haemochromatosis-uk_co-occurrence
Hematology & Blood Disorders,sicklecellsociety_co-occurrence
Hematology & Blood Disorders,sicklecelldisease_co-occurrence
Hematology & Blood Disorders,bws-support_co-occurrence
Preventive Health & Screening,hearinglink_co-occurrence
Preventive Health & Screening,deafplus_co-occurrence
Preventive Health & Screening,mydirectives_co-occurrence
Preventive Health & Screening,transplant-support_co-occurrence
Eye & Vision Health,pagets-support_co-occurrence
Eye & Vision Health,sjogrens-support_co-occurrence
