community_url,label,member_count,Id,type
cancer-journeys-foundation,Cancer Journeys Foundation,42.0,cancer-journeys-foundation_co-occurrence,community
livernorth,LIVErNORTH,41.0,livernorth_co-occurrence,community
mydirectives,MyDirectives: Make your medical wishes known!,40.0,mydirectives_co-occurrence,community
pseudomyxoma-survivor,Pseudomyxoma Survivor,40.0,pseudomyxoma-survivor_co-occurrence,community
cookforyourlife,Cook For Your Life,29.0,cookforyourlife_co-occurrence,community
demo-community,Demo Community,27.0,demo-community_co-occurrence,community
dc-action,DC Action,21.0,dc-action_co-occurrence,community
apma,Australian Pain Management Association,20.0,apma_co-occurrence,community
crohnscolitis,Crohn's & Colitis,6.0,crohnscolitis_co-occurrence,community
barretts-oesophagus,Barrett's Oesophagus,5.0,barretts-oesophagus_co-occurrence,community
