comm_name,short,members_count,about_comm,community_url
PTSD Support,PTSD,1149.0,About Post- Traumatic Stress Disorder (PTSD) Support CommunityThis is a safe space for those affected by PTSD to share and talk with others who truly ,ptsd-support
Cholesterol Support,Cholesterol,9707.0,A new peer support community for people with high cholesterol (e.g. familial hypercholesterolaemia and hyperlipidaemia). Join to share your experience,cholesterol-support
Heal My PTSD,PTSD,9053.0,"The Heal My PTSD forum is a safe, supportive and informative space where survivors and their caregivers can connect to others with similar experiences",healmyptsd
Weight Loss Support,Weight Loss,115258.0,"Welcome to the Weight Loss Support community.We're a friendly group, determined to lose weight, healthily and permanently. All roads to weight loss ar",weight-loss-support
Action on Postpartum Psychosis,Postpartum psychosis,3795.0,"Welcome to APP's online community. Here, you can connect with others who have been affected by Postpartum Psychosis (PP). You can ask questions, share",app-network
Brain health,Brain health,1317.0,"This Brain Health community is a safe space for those affected by brain conditions to connect, share their experiences and offer support to others.",brainhealth
Above & Beyond - Mental Health,Mental health,5612.0,Above & Beyond (previously Journeys) is a community whose sole purpose is to offer support and understanding to people affected by mental health condi,above-beyond
Mental Health Support,Mental health,31807.0,Mental Health Support is a community dedicated to providing reliable information and support to its members.,mental-health-support
Osteoarthritis Action,Osteoarthritis,1979.0,We aim to have a friendly community that provides information and support for those with osteoarthritis. We believe in public health prevention strate,oa-action
Headway,Brain health,11040.0,Headway is the UK-wide charity that works to improve life after brain injury.Through a range of frontline services run from its Nottingham base and vi,headway
National Migraine Centre,Migraine,9232.0,"Book a headache consultation now through the National Migraine Centre, the leading UK-wide migraine clinic. Appointments with specialist doctors & con",migrainecentre
CHADD's Adult ADHD Support,Adult ADHD,25893.0,CHADD's Adult ADHD Support community is a place to discuss the impact of ADHD on you or someone you care about. Talking about the challenges you face ,adult-adhd
Thyroid Cancer Support,Thyroid cancer,798.0,"We are a peer support community for people living with Thyroid Cancer. Here we share our experiences, ask questions and support each other!",thyroid-cancer-support
Beyond Psoriasis,Psoriasis,2802.0,"We’re a community of people affected by psoriasis and psoriatic arthritis but looking beyond our diagnosis. Join the movement! Work, play, family and ",beyond-psoriasis
PBC Foundation,Primary biliary cholangitis,9540.0,The PBC Foundation hosts this community to provide support and information to those affected by Primary Biliary Cholangitis - an autoimmune condition ,pbc-foundation
Supraventricular Tachycardia Support,Supraventricular tachycardia,195.0,Arrhythmia Alliance is an international charity working to support early diagnosis and improve outcomes for SVT and arrhythmia patients and carers wor,arrhythmia-alliance-svt
Sudden Cardiac Arrest & Heart Attack,Heart attack,2316.0,"We are a peer support community for sudden cardiac arrest and heart attack survivors. Join to talk about cardiac rehab, lifestyle changes, heart healt",sca-heart-attack
Unexplained Faints and Consciousness,Epilepsy,1291.0,"STARS, or Syncope Trust And Reflex anoxic Seizures aims to ensure that anyone presenting with unexplained loss of consciousness receives the correct d",stars
Fertility Network UK - Pregnancy Support,Fertility & pregnancy,1358.0,Fertility Network UK is a registered charity supporting anyone who is affected by fertility problems including those who are pregnant or a new parent ,fertility-network-uk-pregnancy
Apoyo para Ansiedad y Depresion,Anxiety & depression,2382.0,"La Asociación de Trastornos de Ansiedad y Depresión de América (ADAA, por sus siglas en inglés) es una organización internacional sin fines de lucro d",ansiedad-depresion-apoyo
Hughes Syndrome APS Forum,Hughes syndr. APS,10461.0,"Hughes Syndrome - APS Support is a Forum that helps support people with Hughes/Antiphospholipid Syndrome and Sero-negative Hughes/APS (SN-APS), also r",hughes-syndrome
Men's Health Forum (Penis Health),Men's (penis) health,36716.0,This forum is for discussion of penis issues only. Search for our other forum 'Men's Health Forum' for all other men's health issues.---One man in fiv,menshealth-penishealth
Diabetes Research & Wellness Foundation,Diabetes,6574.0,"The Diabetes Research and Wellness Foundation (DRWF) is a registered charity, established in 1998 to raise public awareness to the condition and its a",drwfdiabetes
Diabetes India,Diabetes,61884.0,We're leading the fight against diabetes by helping people with diabetes live healthy lives while working to find a cure. Learn how to help people wit,diabetesindia
My OCD Community,Obsess. compuls. disord.,10222.0,"Welcome to My OCD Community!We’re glad you’ve chosen to join us! My OCD Community is a safe, supportive, informative, and friendly community for all p",my-ocd
Heart Valve Voice,Heart health,558.0,Heart Valve Voice is the UK's dedicated heart valve disease charity. Heart Valve Voice is a collection of people with real experiences of heart valve ,heart-valve-voice
Anticoagulation Support,Anticoagulation,3912.0,"The Anticoagulation Support community is for anyone  impacted by a health condition such as atrial fibrillation, stroke, deep vein thrombosis (DVT) an",anticoagulation-support
Sensitive Issues for Men,Sensitive issues men,3090.0,"Men's Health Network (MHN) is a non-profit organization whose mission is to reach men, boys, and their families where they live, work, play, and pray ",sensitiveissuesmen
Dialysis Support,Dialysis,1591.0,Dialysis Support is a community dedicated to providing reliable information and support to its members,dialysis-support
Erectile Dysfunction Support,Erectile dysfunction,2082.0,"A friendly, informal atmosphere for restoring erections and sexual enjoyment.  No topic is off bounds.  Pick each other's brains. Our 24 hour online s",erectile-dysfunction-support
Prostate Cancer And Gay Men,Prostate cancer & gay men,1471.0,"A friendly, safe, informal atmosphere where we can pick each other's brains. Your 24 hour online support group. Talking about our lives and prostate c",prostate-cancer-gay-men
Male Breast Cancer,Male breast cancer,112.0,"A friendly, informal atmosphere where we can pick each other's brains. Our 24 hour online support group. Talking about male breast cancer is a powerfu",male-breast-cancer
Prostate Cancer Caregivers,Prostate cancer,926.0,"Welcome to caregivers currently caring for loved ones with PCa.  Spouses and partners...a safe, caring community for all of us.  It's OK to think of """,prostate-cancer-caregivers
"Fertility Road Mind, Body & Wellbeing",Fertility,1456.0,Fertility Road Magazine is All About IVF. Download the latest issue and get access to all previous issues published.,fertility-road
Mencap, Learning disabilities,9074.0,"Mencap’s online community is a safe and supportive place to ask questions about learning disability, share experiences and offer support. You could be",mencap
Bereavement Care & Share,Grief,900.0,"The purpose of this Community is to care, share and support members who have been bereaved and suffering grief. A place of refuge to chat to others in",bereavement-care
The Brain Tumour Charity,Brain tumour,530.0,"Welcome to The Brain Tumour Charity peer support online community for anyone affected by a brain tumour diagnosis.You can ask questions, get support f",the-brain-tumour-charity
Active,Active,106160.0,"This relaxed supportive walking community is a space to offer support to those starting and continuing their walking journey, including completing Act",active10
Brain Aneurysm Support,Brain aneurysm,840.0,"We are a peer support community for people affected by brain aneurysms. Here we share our experiences, ask questions and support each other!",brain-aneurysm-support
Changing Faces,Changing faces (scarring),3380.0,"This community is for the 1.3 million people in the UK with a visible difference, from a mark, scar or condition that makes them look different.We pro",changingfaces
Beyond Body Size,Healthy weight,4155.0,A peer support community for people who struggle to maintain a healthy weight. A space to talk about a healthy living beyond body size. Join to connec,beyond-body-size
More To Life,Childless by circumstance,1359.0,THIS IS FOR THOSE WHO ARE CHILDLESS BY CIRCUMSTANCE. TO PROTECT OUR MEMBERS AND KEEP THIS A SAFE SPACE PLEASE DO NOT JOIN THIS COMMUNITY IF YOU ARE AC,moretolifeuk
SHARE Metastatic Breast Cancer,Metastatic breast cancer,6944.0,"SHARE Metastatic Breast Cancer Support is a space where you can feel safe, supported, and empowered to tell your story and discuss your issues. SHARE ",share-metastatic-support
Leukaemia Support,Blood cancer,1295.0,A peer support community for people to discuss leukaemia and blood cancer diagnoses.,leukaemia-support
CLL America Support,Chronic lymphocytic leukemia,1667.0,"Welcome to our community! This is a safe space for anyone affected by chronic lymphocytic leukemia (CLL) to find support, share advice and meet others",cll-america-support
Graves Disease Support,Graves disease,1887.0,"We are a peer support community for people living with Graves Disease. Here we share our experiences, ask questions and support each other!",graves-disease-support
Glioblastoma Support,Glioblastoma,705.0,"Welcome to The Brain Tumour Charity Glioblastoma peer support online community for anyone affected by a Glioblastoma diagnosis.You can ask questions, ",glioblastoma-support
SHARE Breast Cancer Support,Breast cancer,2468.0,"SHARE Breast Cancer Support is a space where you can feel safe, supported, and empowered to tell your story and discuss your issues. SHARE peer volunt",share-breast-cancer-support
Arthritis Action,Arthritis,7714.0,"Arthritis Action is a UK charity that promotes a self-management approach to managing all types of arthritis which encompasses diet, nutrition, weight",arthritis-action
COPD Friends,Pulmonary disease,3676.0,"We are peer support community for people living with  COPD. Join us to share your story and experiences, ask questions and support others. Connect wit",copd-friends
Living with Anxiety,Anxiety,5796.0,Welcome to Living with Anxiety a support group for people who are suffering with anxiety & similar related mental health problems. We offer a friendly,livingwithanxiety
Oesophageal & Gastric Cancer,Gastric cancer,6264.0,"For more than three decades, the OPA has fought against oesophageal and gastric cancers, raising awareness, supporting patients, caregivers and their ",oesophagealgastriccancer
The Ehlers-Danlos Support UK,Ehlers-Danlos,3027.0,"The Ehlers-Danlos Support UK (EDS UK) was set up in 1987 to support, advise and inform those living with the Ehlers-Danlos syndromes and hypermobility",edsuk
Talk ED (eating disorders),Eating disord.,3582.0,"Talk ED (previously ABC) is a national UK eating disorders organisation with over 25 years of experience. We provide on-going care, emotional support ",talk-ed
My EXI Community,Physical activity,1503.0,"The EXI Community is here to support you on your physical activity journey. If you have questions, ideas or worries, please share them here. EXI has e",exi-community
British Pregnancy Advisory Service,Pregnancy,5218.0,"bpas, British Pregnancy Advisory Service, is a health charity providing care for thousands of women every year. Our Health Unlocked site is an online ",bpas
Neuro Support,Neurological conditions,2131.0,"Welcome to the Neuro Support Community. This community exists to improve the quality of life of people affected by any neurological condition, includi",neuro-support
No Smoking Day,Quit smoking,5271.0,"The 'No Smoking Day' community inspires and helps smokers who want to quit, and is supported by an alliance of UK health bodies and charities. One in ",nosmokingday
My Breast Cancer Community,Breast cancer,3933.0,"Welcome to My Breast Cancer Community. Here you can safely talk to other people affected by breast cancer – whether you are going through treatment, h",breast-cancer-community
Osteoporosis Support,Osteoporosis,4810.0,"A US based peer support community engaging, educating, and empowering people to build and keep strong bones for a long and independent life. Offering ",osteoporosis-support
Australian Pain Management Association,Pain management,348.0,"APMA is a health promotion charity providing advocacy, information and practical support for people living with persistent (chronic) pain and their fa",apma
Epilepsy New Zealand,Epilepsy,88.0,We support those throughout New Zealand living with epilepsy.,epilepsynz
"Foggy's ""Invisible Illness"" Support",Foggys Invisible Illness,5683.0,"With charitable donations, we are able to provide 2 Hydrotherapy sessions per week, for our paid members.We are dedicated to providing support, raisin",foggys
Andover Fibromyalgia & ME Community Group,Fibromyalgia,2809.0,Welcome to AFMCG community!  Here you can share your experiences about living with Fibromyalgia & M.E in a non-judgemental friendly environment. AFMCG,afmcguk
Weight training community,Weight,905.0,"The weight training community is about encouraging each other to lift, learning from one another about how to do it better, and recording progress alo",weight-training-community
Epilepsy Action,Epilepsy,3164.0,Epilepsy Action is a peer support community run by the Epilepsy Action charity. We are a community of committed and supportive individuals excited to ,epilepsyaction
LSN,Lymphoedema,5817.0,Welcome to the Lymphoedema Support Network community. The LSN is a registered charity run by people who live with lymphoedema. Lymphoedema is a build ,lsn
Macular Society,Macular,5364.0,"Macular disease is the biggest cause of sight loss in the UK, with around 300 people diagnosed every day.The Macular Society is the only charity in th",macularsociety
Ataxia UK,Ataxia,4126.0,Ataxia UK is the national charity for people affected by ataxia. Membership is free and open to anyone affected by the condition. We fund research int,ataxia-uk
NCHPAD Mobility Limitations,Physical activity & disability,18.0,"Founded in 1999, the National Center on Health, Physical Activity and Disability (NCHPAD) is a public health resource center on health promotion for p",nchpad-mobility-limitations
Drink Free,Quit drinking,1704.0,Welcome to the Drink Free community! This is a space for everyone to discuss their drink free journeys and get support from others who understand. Whe,drink-free
Ask Norfolk Parents,Ask norfolk parents,950.0,"Welcome to the Ask Norfolk Parents community. This is a safe and supportive place for families of children and young people to share experiences, find",one-norfolk-parents
Young Adult Stress Support,Young adult stress,264.0,Young Adult Stress Support is a community dedicated to providing reliable information and support to its members.,youngadult-stress
South West Wales Neurological Alliance,Neurological conditions,308.0,"We are community that supports individuals, groups and organisations that represent Neurological Conditions and those associated with their care; in N",swwna
Migraine Support,Migraine,3595.0,"We are a peer support community for people living with migraines. Here we share our experiences, ask questions and support each other!",migraine-support
JIA-at-NRAS,Arthritis,407.0,"This community is for anyone affected by the condition, Juvenile Idiopathic Arthritis (JIA). It  is run by the National Rheumatoid Arthritis Society (",jia
Low-Carb High-Fat (LCHF),Low-carb high-fat diet,2845.0,"This is a community about Low-carb High-Fat (LCHF) diet. A place for sharing experiences, asking questions and learning with others.",lchf-diet
LUpus Patients Understanding and Support,Lupus,3487.0,"Lupus Patients Understanding &amp; Support (LUPUS) is a non-profit organisation for patients-affected-by-systemic lupus erythematosus, lupus variant c",lupus-support
CLL Ireland,Chronic lymphocytic leukemia,,CLL Ireland is a community dedicated to providing reliable information and support to its members,cll-ireland
Kidney Transplant Patient Support,Kidney transplant,1347.0,Welcome to our community! We are a group of people all affected by kidney transplants looking to share information and support.,transplant-support
Nutrition and Yoga for Health,Nutrition and yoga,1451.0,"Holistic health pioneer, yoga teacher and author, Ciara Jean Robert brings you this community.  Her wish is to share with you helpful tools on your ow",nutritionandyoga
Young Adults with Melanoma,Young adults melanoma,435.0,"Welcome to the Young Adults with Melanoma community, a place where you can access peer to peer support from others affected by melanoma.",youngadultswithmelanoma
Living with Fatty Liver and NASH,Fatty liver,8361.0,Living with Fatty Liver or NASH is a community of the Fatty Liver Foundation dedicated to supporting individuals who have been diagnosed or are at-ris,fatty-liver-nash
Melanoma Caregivers,Melanoma caregivers,291.0,"Welcome to the Melanoma Caregiver community, a place where you can access peer to peer support. We are the partners, parents, children and other loved",melanomacaregivers
MY SKIN,Skin conditions,8806.0,"Welcome to the MY SKIN Community, a peer support community for those experiencing issues with their skin. Join us to share your story and experiences,",my-skin
Crohn's & Colitis,Crohn's & colitis,44.0,Welcome to our online community and get the support you need in managing your condition. We know living with Crohn’s disease or ulcerative colitis can,crohnscolitis
HIV Partners,HIV partners,2341.0,Forum Link has joined forces with the HealthUnlocked team to create this HIV positive online community. We want to make it easier for HIV positive peo,hivpartners
PNI ORG UK,Postnatal illness,1083.0,A community for people affected by Post-Natal Illness looking for support and information. It is run by PNI ORG UK and exists to help people sufferers,pniorguk
Gluten Free Guerrillas,Gluten sensitivities,10899.0,Gluten Free Guerrillas is a group dedicated to supporting people with Coeliac Disease or Gluten sensitivities. Share your experiences about diagnosis ,glutenfreeguerrillas
